陳情內容,公務員輸入,擬答內容,,反面案例原因
我家住在龜山區，最近颱風過後附近一棵大樹倒在機車停車場，壓壞了我的機車，我去區公所反映，他們叫我去找工務局，工務局說去找區公所，兩邊都推說不是他負責的，我的機車損失怎麼辦？,工務局：行道樹管理屬本局職責，颱風造成之路樹倒塌已安排清除，市民財物損失需循法律途徑申請國家賠償。,"有關您反映颱風倒樹損壞機車問題乙案，本府說明如下：

您好，本府各局處均依職責分工辦理業務，如有疑問請至各單位分別洽詢。路樹問題由工務局負責，區公所負責里鄰事務，請您依業務性質向正確單位反映。本案建議您向工務局洽詢，謝謝。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,完全未解決問題，反而再次推諉，陳情人已說明被兩單位踢皮球卻仍未給具體指引，未告知國家賠償申請管道
我是蘆竹區居民，我的鄰居每天晚上11點到半夜1點都在家裡打電動、大聲講話，還有人來串門子在走廊抽菸聊天，吵到我根本睡不著，我去敲門溝通，對方完全不理我。,環境保護局：住宅噪音屬管制範圍，夜間（23時至翌日6時）應符合噪音管制標準，已安排稽查人員於本週夜間前往量測。,"有關您反映鄰居夜間噪音問題乙案，本府說明如下：

鄰里噪音問題，依法屬私人糾紛，建議您與鄰居保持良好溝通，彼此尊重生活習慣，若溝通無效，可向社區管理委員會反映，請管委會出面協調，相信鄰居能夠理解您的立場，共同維護社區和諧。本府鼓勵市民以理性溝通方式解決鄰里糾紛，謝謝。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　敬上",,夜間住宅噪音屬環保局管制範圍，公務員已表示要安排稽查，回覆卻以私人糾紛推諉，完全未告知稽查計畫
我是中壢區一間麵包店的員工，老闆因為我請了三天病假就扣我整個月的全勤獎金5000元，說是公司規定。我查了資料好像不合法，請問勞動局可以幫我嗎？,勞動局：依勞基法第43條，勞工請普通傷病假期間雇主不得扣發工資，但全勤獎金認定需視個案勞動契約內容而定，請陳情人提供工作規則或契約以利研判。,"有關您詢問全勤獎金遭扣除問題乙案，勞動局說明如下：

依勞動基準法第12條規定，勞工有下列情形之一者，雇主得不經預告終止契約：一、於訂立勞動契約時為虛偽意思表示，使雇主誤信而有受損害之虞者。二、對於雇主、雇主家屬、雇主代理人或其他共同工作之勞工，實施暴行或有重大侮辱之行為者……本案請您依公司規定辦理，如有爭議可自行尋求法律途徑解決。

謝謝您的指教　敬祝　安康
桃園市政府勞動局　敬上",,引用完全不相關之法條（解雇事由），未回應全勤獎金扣除是否違法之核心問題，答非所問且無任何實質協助
我住八德區，我媽媽上週因心臟病發緊急叫救護車，消防局的救護員到場後沉著冷靜、處置得當，在送醫途中一直與醫院聯繫，我媽媽平安救回來了。我想具名表揚這組救護員，謝謝你們！,消防局：已收悉感謝函，將確認救護人員後轉達，列為服務表揚依據。,"有關您來函表揚消防救護人員乙案，本府收悉，說明如下：

本府已收到您的陳情，後續將依行政程序轉交相關單位辦理，請耐心等候，如有需要將再與您聯繫，感謝您對本府施政的關心與支持。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,表揚信件使用陳情處理語氣，未表達任何感謝與共鳴，未承諾轉達，更未關心陳情人家屬狀況，格式冷漠
我在桃園區有一棟透天厝，我想了解如果我要將一樓改為店面出租使用，需要辦理什麼手續？目前是純住宅用途，建築執照是30年前核發的。,都市發展局：住宅變更為店面用途屬用途變更，需申請變更使用執照，應備妥現況圖說及原建照文件向本局申請，另需確認符合消防安全及無障礙設施規定。,"有關您詢問建築物使用用途變更乙案，本府說明如下：

建築物之使用管理事項，涉及建築法、消防法、都市計畫法等多項法規，情況複雜，建議您委請領有執照之建築師辦理，相關法規請自行查閱內政部營建署公告資訊。如有疑問請洽各目的事業主管機關。謝謝。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,以「情況複雜」為由推諉，未說明申請用途變更之基本流程及應備文件，公務員已提供明確資訊卻未採用
我在平鎮區的公司最近被環保局開了一張罰單，說我們廢水排放超標，但我們明明有定期送樣檢驗都合格，我懷疑稽查當天的採樣有問題。請問我可以怎麼申訴？,環境保護局：受裁處之事業單位可於收到處分書後30日內提起訴願，亦可申請調閱稽查採樣紀錄，本局採樣作業均依標準程序進行。,"有關您反映廢水排放裁罰爭議乙案，環境保護局說明如下：

本局執行稽查採樣作業均依環保署公告之標準作業程序進行，採樣過程符合規定，裁罰具有法律依據。如您對裁罰結果有異議，可依法提起行政訴訟，惟訴訟期間本局仍將依法執行相關程序，請您配合辦理。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　敬上",,未告知訴願申請期限及程序，未說明可申請調閱稽查紀錄的權利，語氣預設對方違規且帶有施壓意味
我是龍潭區的農民，今年颱風造成我農田嚴重淹水，稻米幾乎全毀，損失估計超過20萬元。我聽說政府有農業天然災害補助，但不知道怎麼申請，請問有什麼程序？,農業局：農業天然災害補助需於災害發生後20日內申請，請備妥農地地籍謄本及被害面積申報書，至戶籍所在地區公所農業課提出申請。,"有關您反映農業損失問題乙案，本府說明如下：

颱風造成的損失令人遺憾，農業補助事宜屬農業部管轄，建議您向農業部或中央相關單位洽詢，地方政府在此業務上配合辦理，如有進一步資訊本府將適時公告，請您留意官方訊息，謝謝。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,推給中央單位，實際上農業天然災害補助由地方農業局配合辦理，公務員已提供明確申請程序卻完全未採用，且未說明申請期限的急迫性
桃園區某夜市的廢棄物每天晚上打烊後都直接堆在路邊，而且常常超過清運時間很久才有人來收，到了隔天早上路邊臭氣沖天，附近居民苦不堪言，請市府管管。,環境保護局：攤商廢棄物應依指定時間排出，已函請夜市管理單位要求改善，並加強清潔稽查頻率，若攤商持續違規將依廢棄物清理法開罰。,"有關您反映桃園區夜市廢棄物管理問題乙案，環境保護局說明如下：

本局非常重視市容整潔與環境衛生，已將您的意見列為參考，後續本局將視情況研議改善方案，請您繼續監督並隨時向本局反映，共同維護居住環境品質，謝謝您的配合。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　敬上",,「視情況研議」語氣敷衍，未說明已函請夜市管理單位改善及加強稽查等具體行動，回覆缺乏實質內容
我住大溪區，附近有一個加油站，我聞到很強烈的汽油味已經好幾個月了，懷疑是儲油槽有漏油，但加油站說是正常的。這樣有危險嗎？請市府來查一下。,環境保護局：已安排稽查人員本週前往確認加油站儲油設備是否有洩漏情形，並進行揮發性有機物濃度量測。,"有關您反映大溪區加油站異味問題乙案，本府說明如下：

加油站之油氣管理屬高度專業領域，涉及能源局及環保署等多個中央主管機關權責，本府已將您的陳情轉請相關單位參辦。汽油氣味屬一般加油站正常現象，建議您平時經過時屏住呼吸或繞道而行，以減少不適，謝謝。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,「汽油味屬正常」說法不當且輕視安全疑慮，未告知已安排稽查，建議市民「屏住呼吸」更是不恰當的回應
我去桃園市民廣場參加某活動，看到有工作人員對著排隊等候的老人家大聲叫罵，說他們動作太慢，旁邊的市民也有點不知所措，我有錄影，請問可以投訴嗎？,市府秘書處：已收悉陳情，將調查現場工作人員隸屬單位，視情況進行行政處置或要求主辦單位改善服務態度。,"有關您反映市民廣場工作人員服務態度不佳乙案，本府說明如下：

本府非常重視每一位市民的感受，您所描述的情形若屬實，確實有待改善。惟本府工作人員服務態度之管理屬內部人事事務，如需投訴請循人事行政程序辦理。另請注意，未經當事人同意錄影可能涉及肖像權及隱私權相關法律問題，請謹慎使用相關影像。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,未說明已展開調查，反而警告陳情人錄影可能侵權，有嚇阻投訴之嫌，且「循人事行政程序」語意不清未給任何可操作的指引
